problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
47,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
47,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
47,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
48,bigsum,correct,1,NOT_RULED_OUT,,1
48,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
48,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
48,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
48,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
48,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
48,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
49,bigprod,correct,1,NOT_RULED_OUT,,1
49,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
49,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
49,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
49,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
49,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
49,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
50,power,correct,1,NOT_RULED_OUT,,1
50,power,random_offset,0,RULED_OUT_WRONG,1,0
50,power,digit_transpose,0,RULED_OUT_WRONG,1,0
50,power,off_by_power10,0,RULED_OUT_WRONG,1,0
50,power,sign_flip,0,RULED_OUT_WRONG,1,0
50,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
50,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
51,factorial,correct,1,NOT_RULED_OUT,,1
51,factorial,random_offset,0,RULED_OUT_WRONG,1,0
51,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
51,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
51,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
51,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
51,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
52,fibonacci,correct,1,NOT_RULED_OUT,,1
52,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
52,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
52,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
52,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
52,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
52,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
53,bigsum,correct,1,NOT_RULED_OUT,,1
53,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
53,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
53,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
53,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
53,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
53,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
54,bigprod,correct,1,NOT_RULED_OUT,,1
54,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
54,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
54,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
54,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
54,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
54,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
55,power,correct,1,NOT_RULED_OUT,,1
55,power,random_offset,0,RULED_OUT_WRONG,1,0
55,power,digit_transpose,0,RULED_OUT_WRONG,1,0
55,power,off_by_power10,0,RULED_OUT_WRONG,1,0
55,power,sign_flip,0,RULED_OUT_WRONG,1,0
55,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
